Timestamp	Filename	Error	Message
2012-10-19 10:43:49.998 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-19 10:43:49.999 -0400	Test Custom Function: CrumbSetLayoutVariables	0	script steps imported : 1
2012-10-19 10:43:49.999 -0400	Crumb.fmp12	0	Import completed
2012-10-19 10:50:21.030 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-19 10:50:21.037 -0400	Test Custom Function: CrumbSetLayoutVariables	0	script steps imported : 2
2012-10-19 10:50:21.038 -0400	Crumb.fmp12	0	Import completed
2012-10-19 10:50:53.930 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-19 10:50:53.935 -0400	Test Custom Function: CrumbSetLayoutVariables	0	script steps imported : 1
2012-10-19 10:50:53.935 -0400	Crumb.fmp12	0	Import completed
2012-10-19 10:52:08.957 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-19 10:52:08.961 -0400	Test Custom Function: CrumbSetLayoutVariables	0	script steps imported : 1
2012-10-19 10:52:08.962 -0400	Crumb.fmp12	0	Import completed
2012-10-19 10:52:42.421 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-19 10:52:42.425 -0400	Test Custom Function: CrumbSetLayoutVariables	0	script steps imported : 1
2012-10-19 10:52:42.425 -0400	Crumb.fmp12	0	Import completed
2012-10-19 10:56:21.291 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-19 10:56:21.295 -0400	Test Custom Function: CrumbSetLayoutVariables	0	script steps imported : 1
2012-10-19 10:56:21.295 -0400	Crumb.fmp12	0	Import completed
2012-10-19 10:56:30.844 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-19 10:56:30.850 -0400	Test Custom Function: CrumbSetLayoutVariables	0	script steps imported : 4
2012-10-19 10:56:30.851 -0400	Crumb.fmp12	0	Import completed
2012-10-19 10:59:30.017 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-19 10:59:30.046 -0400	Test Custom Function: CrumbSetLayoutVariables	0	script steps imported : 1
2012-10-19 10:59:30.047 -0400	Crumb.fmp12	0	Import completed
2012-10-19 11:11:04.656 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-19 11:11:04.662 -0400	Test Custom Function: CrumbSetLayoutVariables	0	script steps imported : 1
2012-10-19 11:11:04.662 -0400	Crumb.fmp12	0	Import completed
2012-10-19 11:14:45.570 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-19 11:14:45.576 -0400	Test Custom Function: CrumbSetLayoutVariables	0	script steps imported : 1
2012-10-19 11:14:45.576 -0400	Crumb.fmp12	0	Import completed
2012-10-19 11:15:40.910 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-19 11:15:40.916 -0400	Test Custom Function: CrumbSetLayoutVariables	0	script steps imported : 1
2012-10-19 11:15:40.916 -0400	Crumb.fmp12	0	Import completed
2012-10-19 11:16:13.924 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-19 11:16:13.930 -0400	Test Custom Function: CrumbSetLayoutVariables	0	script steps imported : 1
2012-10-19 11:16:13.930 -0400	Crumb.fmp12	0	Import completed
2012-10-19 11:17:53.550 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-19 11:17:53.551 -0400	Test Custom Function: CrumbSetLayoutVariables	0	script steps imported : 1
2012-10-19 11:17:53.551 -0400	Crumb.fmp12	0	Import completed
2012-10-19 11:18:13.111 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-19 11:18:13.116 -0400	Test Custom Function: CrumbSetLayoutVariables	0	script steps imported : 1
2012-10-19 11:18:13.117 -0400	Crumb.fmp12	0	Import completed
2012-10-19 11:20:30.506 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-19 11:20:30.506 -0400	Test Custom Function: CrumbSetLayoutVariables	0	script steps imported : 1
2012-10-19 11:20:30.507 -0400	Crumb.fmp12	0	Import completed
2012-10-19 11:21:45.845 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-19 11:21:45.858 -0400	Test Custom Function: CrumbSetLayoutVariables	0	script steps imported : 7
2012-10-19 11:21:45.859 -0400	Crumb.fmp12	0	Import completed
2012-10-19 11:25:55.921 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-19 11:25:55.930 -0400	Test Custom Function: CrumbSetLayoutVariables	0	script steps imported : 2
2012-10-19 11:25:55.930 -0400	Crumb.fmp12	0	Import completed
2012-10-19 11:27:09.507 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-19 11:27:09.508 -0400	Test Custom Function: CrumbSetLayoutVariables	0	script steps imported : 1
2012-10-19 11:27:09.508 -0400	Crumb.fmp12	0	Import completed
2012-10-19 11:44:40.844 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-19 11:44:40.848 -0400	Test Custom Function: CrumbSetLayoutVariables	0	script steps imported : 1
2012-10-19 11:44:40.848 -0400	Crumb.fmp12	0	Import completed
2012-10-19 12:08:37.228 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-19 12:08:37.241 -0400	Test Custom Function: CrumbSetLayoutVariables	0	script steps imported : 3
2012-10-19 12:08:37.241 -0400	Crumb.fmp12	0	Import completed
2012-10-19 12:13:32.773 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-19 12:13:32.774 -0400	Test Custom Function: CrumbSetLayoutVariables	0	script steps imported : 1
2012-10-19 12:13:32.774 -0400	Crumb.fmp12	0	Import completed
2012-10-19 12:13:34.021 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-19 12:13:34.022 -0400	Test Custom Function: CrumbSetLayoutVariables	0	script steps imported : 1
2012-10-19 12:13:34.023 -0400	Crumb.fmp12	0	Import completed
2012-10-19 12:13:36.180 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-19 12:13:36.181 -0400	Test Custom Function: CrumbSetLayoutVariables	0	script steps imported : 1
2012-10-19 12:13:36.182 -0400	Crumb.fmp12	0	Import completed
2012-10-22 11:46:45.275 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-22 11:46:45.287 -0400	Test: Load Crumb Navigation Data	0	script steps imported : 2
2012-10-22 11:46:45.288 -0400	Crumb.fmp12	0	Import completed
2012-10-22 11:47:02.885 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-22 11:47:02.886 -0400	Test: Load Crumb Navigation Data	0	script steps imported : 10
2012-10-22 11:47:02.886 -0400	Crumb.fmp12	0	Import completed
2012-10-22 11:47:34.101 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-22 11:47:34.421 -0400	Test: Load Crumb Navigation Data	0	script steps imported : 47
2012-10-22 11:47:34.430 -0400	Crumb.fmp12	0	Import completed
2012-10-22 11:53:55.232 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-22 11:53:55.238 -0400	Test: Load Crumb Navigation Data	0	script steps imported : 1
2012-10-22 11:53:55.238 -0400	Crumb.fmp12	0	Import completed
2012-10-22 11:56:48.841 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-22 11:56:48.850 -0400	Test: Load Crumb Navigation Data	0	script steps imported : 2
2012-10-22 11:56:48.851 -0400	Crumb.fmp12	0	Import completed
2012-10-22 12:01:50.006 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-22 12:01:50.011 -0400	Test: Load Crumb Navigation Data	0	script steps imported : 1
2012-10-22 12:01:50.011 -0400	Crumb.fmp12	0	Import completed
2012-10-22 12:06:30.616 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-22 12:06:30.620 -0400	Test: Load Crumb Navigation Data	0	script steps imported : 1
2012-10-22 12:06:30.621 -0400	Crumb.fmp12	0	Import completed
2012-10-22 12:06:42.488 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-22 12:06:42.494 -0400	Test: Load Crumb Navigation Data	0	script steps imported : 1
2012-10-22 12:06:42.494 -0400	Crumb.fmp12	0	Import completed
2012-10-22 12:06:49.173 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-22 12:06:49.179 -0400	Test: Load Crumb Navigation Data	0	script steps imported : 1
2012-10-22 12:06:49.179 -0400	Crumb.fmp12	0	Import completed
2012-10-22 12:07:00.806 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-22 12:07:00.811 -0400	Test: Load Crumb Navigation Data	0	script steps imported : 1
2012-10-22 12:07:00.811 -0400	Crumb.fmp12	0	Import completed
2012-10-22 12:07:15.864 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-22 12:07:15.869 -0400	Test: Load Crumb Navigation Data	0	script steps imported : 1
2012-10-22 12:07:15.869 -0400	Crumb.fmp12	0	Import completed
2012-10-22 12:07:33.602 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-22 12:07:33.607 -0400	Test: Load Crumb Navigation Data	0	script steps imported : 1
2012-10-22 12:07:33.608 -0400	Crumb.fmp12	0	Import completed
2012-10-22 12:07:37.797 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-22 12:07:37.803 -0400	Test: Load Crumb Navigation Data	0	script steps imported : 1
2012-10-22 12:07:37.803 -0400	Crumb.fmp12	0	Import completed
2012-10-22 12:13:35.430 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-22 12:13:35.431 -0400	Test: Load Crumb Navigation Data	0	script steps imported : 1
2012-10-22 12:13:35.432 -0400	Crumb.fmp12	0	Import completed
2012-10-22 12:13:36.485 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-22 12:13:36.485 -0400	Test: Load Crumb Navigation Data	0	script steps imported : 1
2012-10-22 12:13:36.486 -0400	Crumb.fmp12	0	Import completed
2012-10-22 12:13:37.783 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-22 12:13:37.784 -0400	Test: Load Crumb Navigation Data	0	script steps imported : 1
2012-10-22 12:13:37.784 -0400	Crumb.fmp12	0	Import completed
2012-10-22 12:14:16.889 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-22 12:14:16.897 -0400	Test: Load Crumb Navigation Data	0	script steps imported : 2
2012-10-22 12:14:16.898 -0400	Crumb.fmp12	0	Import completed
2012-10-22 12:15:19.962 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
2012-10-22 12:15:19.967 -0400	Test: Load Crumb Navigation Data	0	script steps imported : 1
2012-10-22 12:15:19.968 -0400	Crumb.fmp12	0	Import completed
2012-10-22 12:16:34.945 -0400	Crumb.fmp12	0	Import of script steps from clipboard started
